ID,Sort,Ward,Precinct,Precinct Code,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,Shape_Area,% Geography,% Geography CT,Raw_Emanuel,Raw_Wilson,Raw_Fioretti,Raw_Garcia,Raw_Walls,Raw_Vote_Total,Pror_Emanuel,Pror_Wilson,Pror_Fioretti,Pror_Garcia,Pror_Walls,Pror_Vote_Total,Raw_White,Raw_AA,Raw_Hispanic,Raw_Asian,Raw_Native_Am,Raw_Hawaiian,Raw_Other,Raw_Two_Or_More,Raw_Pop_Total,Pror_White,Pror_AA,Pror_Hispanic,Pror_Aisan,Pror_Native_Am,Pror_Hawaiian,Pror_Other,Pror_Two_Or_More,Pror_Pop_Total,Majority Race,Raw_Median_HH_Income,Wtd_Median_HH_Income,Pror_Median_HH_Income,Range_Income,Raw_Pct_Bachelors,Wtd_Pct_Bachelors,Pror_Pct_Bachelors,Range_Bachelors
11,11,1,5,1005,17,31,241400,17031241400,2414,Census Tract 2414,0.000011,73.33%,19.30%,88,4,10,62,1,165,65,3,7,45,1,121,3337,317,631,209,5,1,13,82,4595,644,61,122,40,1,0,3,16,887,White,95161,84407807,94659,"$80,000 - $100,000",72,63864,70,60% - 80%
12,12,1,6,1006,17,31,243400,17031243400,2434,Census Tract 2434,0.000015,100.00%,41.67%,85,3,16,106,2,212,85,3,16,106,2,212,1496,194,1167,85,5,0,3,51,3001,623,81,486,35,2,0,1,21,1250,Mixed,67499,84373750,67499,"$60,000 - $80,000",48,60000,48,40% - 60%
13,13,1,7,1007,17,31,221500,17031221500,2215,Census Tract 2215,0.000011,100.00%,33.33%,60,2,15,72,5,154,60,2,15,72,5,154,1156,174,1365,86,5,4,7,32,2829,385,58,455,29,2,1,2,11,943,Mixed,52893,49878099,52893,"$40,000 - $60,000",26,24518,26,20% - 40%
14,14,1,8,1008,17,31,241500,17031241500,2415,Census Tract 2415,0.000001,8.33%,2.94%,113,15,8,80,3,219,9,1,1,7,0,18,1963,71,598,152,3,0,10,75,2872,58,2,18,4,0,0,0,2,84,White,114067,9581628,96797,"$80,000 - $100,000",69,5796,72,60% - 80%
15,15,1,8,1008,17,31,241400,17031241400,2414,Census Tract 2414,0.000011,91.67%,19.30%,113,15,8,80,3,219,104,14,7,73,3,201,3337,317,631,209,5,1,13,82,4595,644,61,122,40,1,0,3,16,887,White,95161,84407807,96797,"$80,000 - $100,000",72,63864,72,60% - 80%
16,16,1,9,1009,17,31,221500,17031221500,2215,Census Tract 2215,0.000012,100.00%,36.36%,87,12,13,85,0,197,87,12,13,85,0,197,1156,174,1365,86,5,4,7,32,2829,420,63,496,31,2,1,3,12,1029,Mixed,52893,54426897,52893,"$40,000 - $60,000",26,26754,26,20% - 40%
17,17,1,10,1010,17,31,242200,17031242200,2422,Census Tract 2422,0.000002,15.38%,5.71%,91,5,12,63,3,174,14,1,2,10,0,27,2524,81,763,164,0,0,15,43,3590,144,5,44,9,0,0,1,2,205,White,95299,19536295,103821,"$100,000 - $120,000",66,13530,71,60% - 80%
18,18,1,10,1010,17,31,242100,17031242100,2421,Census Tract 2421,0.000011,84.62%,31.43%,91,5,12,63,3,174,77,4,10,53,3,147,2438,66,859,174,13,6,9,83,3648,766,21,270,55,4,2,3,26,1147,White,105344,120829568,103821,"$100,000 - $120,000",72,82584,71,60% - 80%
19,19,1,11,1011,17,31,241500,17031241500,2415,Census Tract 2415,0.000002,10.00%,5.88%,71,2,15,87,2,177,7,0,1,9,0,18,1963,71,598,152,3,0,10,75,2872,115,4,35,9,0,0,1,4,169,White,114067,19277323,97133,"$80,000 - $100,000",69,11661,72,60% - 80%
20,20,1,11,1011,17,31,241400,17031241400,2414,Census Tract 2414,0.000018,90.00%,31.58%,71,2,15,87,2,177,64,2,13,78,2,159,3337,317,631,209,5,1,13,82,4595,1054,100,199,66,2,0,4,26,1451,White,95161,138078611,97133,"$80,000 - $100,000",72,104472,72,60% - 80%
21,21,1,12,1012,17,31,242900,17031242900,2429,Census Tract 2429,0.000007,38.89%,19.44%,70,6,34,105,5,220,27,2,13,41,2,86,1142,27,436,32,2,0,0,31,1670,222,5,85,6,0,0,0,6,325,White,70213,22819225,73254,"$60,000 - $80,000",64,20800,60,40% - 60%
22,22,1,12,1012,17,31,242400,17031242400,2424,Census Tract 2424,0.000011,61.11%,31.43%,70,6,34,105,5,220,43,4,21,64,3,134,2357,38,212,97,2,0,5,53,2764,741,12,67,30,1,0,2,17,869,White,74391,64645779,73254,"$60,000 - $80,000",58,50402,60,40% - 60%
23,23,1,13,1013,17,31,221400,17031221400,2214,Census Tract 2214,0.000012,100.00%,31.58%,39,2,4,53,1,99,39,2,4,53,1,99,1047,60,1779,79,4,1,13,37,3020,331,19,562,25,1,0,4,12,954,Hisp,49494,47217276,49494,"$40,000 - $60,000",22,20988,22,20% - 40%
24,24,1,14,1014,17,31,242400,17031242400,2424,Census Tract 2424,0.000004,15.38%,11.43%,112,10,15,79,1,217,17,2,2,12,0,33,2357,38,212,97,2,0,5,53,2764,269,4,24,11,0,0,1,6,316,White,74391,23507556,78662,"$60,000 - $80,000",58,18328,60,40% - 60%
25,25,1,14,1014,17,31,241200,17031241200,2412,Census Tract 2412,0.000022,84.62%,62.86%,112,10,15,79,1,217,95,8,13,67,1,184,979,146,399,121,2,0,6,43,1696,615,92,251,76,1,0,4,27,1066,White,79928,85203248,78662,"$60,000 - $80,000",60,63960,60,40% - 60%
26,26,1,15,1015,17,31,242400,17031242400,2424,Census Tract 2424,0.000002,15.38%,5.71%,49,9,24,108,2,192,8,1,4,17,0,30,2357,38,212,97,2,0,5,53,2764,135,2,12,6,0,0,0,3,158,White,74391,11753778,57366,"$40,000 - $60,000",58,9164,39,20% - 40%
27,27,1,15,1015,17,31,242500,17031242500,2425,Census Tract 2425,0.000011,84.62%,33.33%,49,9,24,108,2,192,41,8,20,91,2,162,1909,134,1268,78,0,1,6,42,3438,636,45,423,26,0,0,2,14,1146,White,55019,63051774,57366,"$40,000 - $60,000",36,41256,39,20% - 40%
28,28,1,16,1016,17,31,221400,17031221400,2214,Census Tract 2214,0.000015,100.00%,39.47%,52,3,8,129,0,192,52,3,8,129,0,192,1047,60,1779,79,4,1,13,37,3020,413,24,702,31,2,0,5,15,1192,Hisp,49494,58996848,49494,"$40,000 - $60,000",22,26224,22,20% - 40%
29,29,1,17,1017,17,31,222600,17031222600,2226,Census Tract 2226,0.000006,37.50%,35.29%,71,9,10,107,3,200,27,3,4,40,1,75,558,177,803,22,7,0,2,33,1602,197,62,283,8,2,0,1,12,565,Hisp,41303,23336195,49862,"$40,000 - $60,000",33,18645,20,0% - 20%
30,30,1,17,1017,17,31,222700,17031222700,2227,Census Tract 2227,0.00001,62.50%,40.00%,71,9,10,107,3,200,44,6,6,67,2,125,418,296,1488,12,3,0,1,17,2235,167,118,595,5,1,0,0,7,894,Hisp,55272,49413168,49862,"$40,000 - $60,000",11,9834,20,0% - 20%
31,31,1,18,1018,17,31,242600,17031242600,2426,Census Tract 2426,0.000011,100.00%,22.00%,79,8,10,126,1,224,79,8,10,126,1,224,2411,589,2665,80,3,2,8,73,5831,530,130,586,18,1,0,2,16,1283,Mixed,55641,71387403,55641,"$40,000 - $60,000",40,51320,40,20% - 40%
32,32,1,19,1019,17,31,220400,17031220400,2204,Census Tract 2204,0.000005,25.00%,13.89%,96,0,14,180,3,293,24,0,4,45,1,73,1390,63,899,81,2,2,7,51,2495,193,9,125,11,0,0,1,7,347,White,63349,21982103,59788,"$40,000 - $60,000",54,18738,40,20% - 40%
33,33,1,19,1019,17,31,221300,17031221300,2213,Census Tract 2213,0.000015,75.00%,42.86%,96,0,14,180,3,293,72,0,10,135,2,220,1276,140,1657,90,4,4,4,47,3222,547,60,710,39,2,2,2,20,1381,Hisp,58893,81331233,59788,"$40,000 - $60,000",36,49716,40,20% - 40%
34,34,1,20,1020,17,31,222600,17031222600,2226,Census Tract 2226,0.000011,100.00%,64.71%,49,6,11,116,1,183,49,6,11,116,1,183,558,177,803,22,7,0,2,33,1602,361,115,520,14,5,0,1,21,1037,Hisp,41303,42831211,41303,"$40,000 - $60,000",33,34221,33,20% - 40%
35,35,1,21,1021,17,31,241500,17031241500,2415,Census Tract 2415,0.000008,32.00%,23.53%,89,4,5,69,5,172,28,1,2,22,2,55,1963,71,598,152,3,0,10,75,2872,462,17,141,36,1,0,2,18,676,White,114067,77109292,101408,"$100,000 - $120,000",69,46644,71,60% - 80%
36,36,1,21,1021,17,31,241400,17031241400,2414,Census Tract 2414,0.000017,68.00%,29.82%,89,4,5,69,5,172,61,3,3,47,3,117,3337,317,631,209,5,1,13,82,4595,995,95,188,62,1,0,4,24,1370,White,95161,130370570,101408,"$100,000 - $120,000",72,98640,71,60% - 80%
37,37,1,22,1022,17,31,832400,17031832400,8324,Census Tract 8324,0.000004,30.77%,11.43%,57,2,7,62,1,129,18,1,2,19,0,40,1391,102,1495,123,8,3,4,55,3181,159,12,171,14,1,0,0,6,364,Mixed,88207,32107348,68755,"$60,000 - $80,000",49,17836,35,20% - 40%
38,38,1,22,1022,17,31,240700,17031240700,2407,Census Tract 2407,0.000009,69.23%,50.00%,57,2,7,62,1,129,39,1,5,43,1,89,353,165,921,60,2,0,1,33,1535,176,82,460,30,1,0,0,16,768,Hisp,59536,45723648,68755,"$60,000 - $80,000",28,21504,35,20% - 40%
39,39,1,23,1023,17,31,221300,17031221300,2213,Census Tract 2213,0.00002,100.00%,57.14%,99,5,22,173,1,300,99,5,22,173,1,300,1276,140,1657,90,4,4,4,47,3222,729,80,947,51,2,2,2,27,1841,Hisp,58893,108422013,58893,"$40,000 - $60,000",36,66276,36,20% - 40%
40,40,1,24,1024,17,31,241100,17031241100,2411,Census Tract 2411,0.000001,7.14%,2.70%,62,9,5,92,0,168,4,1,0,7,0,12,1430,604,1420,123,7,0,5,93,3682,39,16,38,3,0,0,0,3,100,Mixed,60653,6065300,44480,"$40,000 - $60,000",39,3900,19,0% - 20%
41,41,1,24,1024,17,31,241000,17031241000,2410,Census Tract 2410,0.000013,92.86%,59.09%,62,9,5,92,0,168,58,8,5,85,0,156,389,501,1092,20,1,1,1,42,2047,230,296,645,12,1,1,1,25,1210,Hisp,43143,52203030,44480,"$40,000 - $60,000",17,20570,19,0% - 20%
42,42,1,25,1025,17,31,241100,17031241100,2411,Census Tract 2411,0.000013,100.00%,35.14%,48,9,10,84,3,154,48,9,10,84,3,154,1430,604,1420,123,7,0,5,93,3682,502,212,499,43,2,0,2,33,1294,Mixed,60653,78484982,60653,"$60,000 - $80,000",39,50466,39,20% - 40%
43,43,1,26,1026,17,31,222800,17031222800,2228,Census Tract 2228,0.000005,35.71%,41.67%,48,1,9,96,1,155,17,0,3,34,0,55,89,128,829,3,0,0,11,14,1074,37,53,345,1,0,0,5,6,448,Hisp,23686,10611328,34777,"$20,000 - $40,000",9,4032,10,0% - 20%
44,44,1,26,1026,17,31,222900,17031222900,2229,Census Tract 2229,0.000009,64.29%,39.13%,48,1,9,96,1,155,31,1,6,62,1,100,78,79,1068,15,1,0,1,2,1244,31,31,418,6,0,0,0,1,487,Hisp,44980,21905260,34777,"$20,000 - $40,000",11,5357,10,0% - 20%
45,45,1,27,1027,17,31,240600,17031240600,2406,Census Tract 2406,0.000018,100.00%,100.00%,71,7,14,71,2,165,71,7,14,71,2,165,602,42,728,43,4,1,0,37,1457,602,42,728,43,4,1,0,37,1457,Mixed,103242,150423594,103242,"$100,000 - $120,000",72,104904,72,60% - 80%
46,46,1,28,1028,17,31,51400,17031051400,514,Census Tract 514,0.000007,15.91%,17.50%,62,16,2,35,14,129,10,3,0,6,2,21,1344,167,416,99,11,1,4,35,2077,235,29,73,17,2,0,1,6,363,White,118420,42986460,99610,"$80,000 - $100,000",57,20691,59,40% - 60%
47,47,1,28,1028,17,31,70700,17031070700,707,Census Tract 707,0.00001,22.73%,13.51%,62,16,2,35,14,129,14,4,0,8,3,29,2559,200,403,239,7,0,9,64,3481,346,27,54,32,1,0,1,9,470,White,112792,53012240,99610,"$80,000 - $100,000",73,34310,59,40% - 60%
48,48,1,28,1028,17,31,830900,17031830900,8309,Census Tract 8309,0.000027,61.36%,24.11%,62,16,2,35,14,129,38,10,1,21,9,79,1417,113,1154,123,9,1,12,48,2877,342,27,278,30,2,0,3,12,694,Mixed,80843,56105042,99610,"$80,000 - $100,000",51,35394,59,40% - 60%
49,49,1,29,1029,17,31,832400,17031832400,8324,Census Tract 8324,0.000018,100.00%,51.43%,104,8,16,90,3,221,104,8,16,90,3,221,1391,102,1495,123,8,3,4,55,3181,715,52,769,63,4,2,2,28,1636,Mixed,88207,144306652,88207,"$80,000 - $100,000",49,80164,49,40% - 60%
50,50,1,30,1030,17,31,240800,17031240800,2408,Census Tract 2408,0.000017,100.00%,94.44%,76,12,5,153,4,250,76,12,5,153,4,250,311,171,1098,17,4,0,0,16,1617,294,162,1037,16,4,0,0,15,1527,Hisp,45416,69350232,45416,"$40,000 - $60,000",36,54972,36,20% - 40%
51,51,1,31,1031,17,31,832400,17031832400,8324,Census Tract 8324,0.000004,30.77%,11.43%,96,10,10,85,3,204,30,3,3,26,1,63,1391,102,1495,123,8,3,4,55,3181,159,12,171,14,1,0,0,6,364,Mixed,88207,32107348,68755,"$60,000 - $80,000",49,17836,35,20% - 40%
52,52,1,31,1031,17,31,240700,17031240700,2407,Census Tract 2407,0.000009,69.23%,50.00%,96,10,10,85,3,204,66,7,7,59,2,141,353,165,921,60,2,0,1,33,1535,176,82,460,30,1,0,0,16,768,Hisp,59536,45723648,68755,"$60,000 - $80,000",28,21504,35,20% - 40%
53,53,1,32,1032,17,31,242900,17031242900,2429,Census Tract 2429,0.000006,35.29%,16.67%,80,2,28,83,0,193,28,1,10,29,0,68,1142,27,436,32,2,0,0,31,1670,190,4,73,5,0,0,0,5,278,White,70213,19519214,90319,"$80,000 - $100,000",64,17792,53,40% - 60%
54,54,1,32,1032,17,31,243000,17031243000,2430,Census Tract 2430,0.000011,64.71%,31.43%,80,2,28,83,0,193,52,1,18,54,0,125,1253,55,775,75,1,1,1,43,2204,394,17,244,24,0,0,0,14,693,White,98385,68180805,90319,"$80,000 - $100,000",49,33957,53,40% - 60%
55,55,1,33,1033,17,31,243100,17031243100,2431,Census Tract 2431,0.000008,36.36%,23.53%,100,7,19,105,2,233,36,3,7,38,1,85,979,52,1110,63,1,2,2,33,2242,230,12,261,15,0,0,0,8,528,Mixed,97762,51618336,99454,"$80,000 - $100,000",48,25344,53,40% - 60%
56,56,1,33,1033,17,31,243200,17031243200,2432,Census Tract 2432,0.000014,63.64%,41.18%,100,7,19,105,2,233,64,4,12,67,1,148,1099,80,877,72,3,0,7,32,2170,453,33,361,30,1,0,3,13,894,White,100454,89805876,99454,"$80,000 - $100,000",56,50064,53,40% - 60%
57,57,1,34,1034,17,31,221400,17031221400,2214,Census Tract 2214,0.000011,100.00%,28.95%,59,3,12,104,0,178,59,3,12,104,0,178,1047,60,1779,79,4,1,13,37,3020,303,17,515,23,1,0,4,11,874,Hisp,49494,43257756,49494,"$40,000 - $60,000",22,19228,22,20% - 40%
58,58,1,35,1035,17,31,242000,17031242000,2420,Census Tract 2420,0.000002,11.76%,5.88%,98,4,20,93,5,220,12,0,2,11,1,26,2127,830,1368,154,6,0,9,71,4565,125,49,80,9,0,0,1,4,269,Mixed,62275,16751975,85882,"$80,000 - $100,000",41,11029,55,40% - 60%
59,59,1,35,1035,17,31,243300,17031243300,2433,Census Tract 2433,0.000006,35.29%,17.14%,98,4,20,93,5,220,35,1,7,33,2,78,1577,35,633,95,15,1,2,28,2386,270,6,109,16,3,0,0,5,409,White,80957,33111413,85882,"$80,000 - $100,000",64,26176,55,40% - 60%
60,60,1,35,1035,17,31,243200,17031243200,2432,Census Tract 2432,0.000009,52.94%,26.47%,98,4,20,93,5,220,52,2,11,49,3,116,1099,80,877,72,3,0,7,32,2170,291,21,232,19,1,0,2,8,574,White,100454,57660596,85882,"$80,000 - $100,000",56,32144,55,40% - 60%
61,61,1,36,1036,17,31,242100,17031242100,2421,Census Tract 2421,0.000013,100.00%,37.14%,92,4,29,65,0,190,92,4,29,65,0,190,2438,66,859,174,13,6,9,83,3648,906,25,319,65,5,2,3,31,1355,White,105344,142741120,105344,"$100,000 - $120,000",72,97560,72,60% - 80%
62,62,1,37,1037,17,31,243400,17031243400,2434,Census Tract 2434,0.000004,21.05%,11.11%,92,1,27,82,1,203,19,0,6,17,0,43,1496,194,1167,85,5,0,3,51,3001,166,22,130,9,1,0,0,6,333,Mixed,67499,22477167,77652,"$60,000 - $80,000",48,15984,60,40% - 60%
63,63,1,37,1037,17,31,243300,17031243300,2433,Census Tract 2433,0.000015,78.95%,42.86%,92,1,27,82,1,203,73,1,21,65,1,160,1577,35,633,95,15,1,2,28,2386,676,15,271,41,6,0,1,12,1023,White,80957,82819011,77652,"$60,000 - $80,000",64,65472,60,40% - 60%
64,64,1,38,1038,17,31,241100,17031241100,2411,Census Tract 2411,0.000005,27.78%,13.51%,70,6,22,118,2,218,19,2,6,33,1,61,1430,604,1420,123,7,0,5,93,3682,193,82,192,17,1,0,1,13,498,Mixed,60653,30205194,71418,"$60,000 - $80,000",39,19422,51,40% - 60%
65,65,1,38,1038,17,31,241200,17031241200,2412,Census Tract 2412,0.000013,72.22%,37.14%,70,6,22,118,2,218,51,4,16,85,1,157,979,146,399,121,2,0,6,43,1696,364,54,148,45,1,0,2,16,630,White,79928,50354640,71418,"$60,000 - $80,000",60,37800,51,40% - 60%
66,66,1,39,1039,17,31,242200,17031242200,2422,Census Tract 2422,0.000001,7.14%,2.86%,70,1,14,92,0,177,5,0,1,7,0,13,2524,81,763,164,0,0,15,43,3590,72,2,22,5,0,0,0,1,103,White,95299,9815797,97498,"$80,000 - $100,000",66,6798,50,40% - 60%
67,67,1,39,1039,17,31,243100,17031243100,2431,Census Tract 2431,0.000013,92.86%,38.24%,70,1,14,92,0,177,65,1,13,85,0,164,979,52,1110,63,1,2,2,33,2242,374,20,424,24,0,1,1,13,857,Mixed,97762,83782034,97498,"$80,000 - $100,000",48,41136,50,40% - 60%
68,68,1,40,1040,17,31,242000,17031242000,2420,Census Tract 2420,0.00001,100.00%,29.41%,111,12,20,77,5,225,111,12,20,77,5,225,2127,830,1368,154,6,0,9,71,4565,626,244,402,45,2,0,3,21,1343,Mixed,62275,83635325,62275,"$60,000 - $80,000",41,55063,41,40% - 60%
69,69,1,41,1041,17,31,220400,17031220400,2204,Census Tract 2204,0.000002,20.00%,5.56%,46,2,4,95,3,150,9,0,1,19,1,30,1390,63,899,81,2,2,7,51,2495,77,4,50,4,0,0,0,3,139,White,63349,8805511,83127,"$80,000 - $100,000",54,7506,52,40% - 60%
70,70,1,41,1041,17,31,220300,17031220300,2203,Census Tract 2203,0.000008,80.00%,22.22%,46,2,4,95,3,150,37,2,3,76,2,120,1170,79,762,58,2,0,7,24,2102,260,18,169,13,0,0,2,5,467,White,89014,41569538,83127,"$80,000 - $100,000",51,23817,52,40% - 60%
71,71,1,42,1042,17,31,830900,17031830900,8309,Census Tract 8309,0.000017,100.00%,15.18%,10,0,6,39,0,55,10,0,6,39,0,55,1417,113,1154,123,9,1,12,48,2877,215,17,175,19,1,0,2,7,437,Mixed,80843,35328391,80843,"$80,000 - $100,000",51,22287,51,40% - 60%
72,72,1,43,1043,17,31,221500,17031221500,2215,Census Tract 2215,0.00001,100.00%,30.30%,57,7,11,81,5,161,57,7,11,81,5,161,1156,174,1365,86,5,4,7,32,2829,350,53,414,26,2,1,2,10,857,Mixed,52893,45329301,52893,"$40,000 - $60,000",26,22282,26,20% - 40%
73,73,1,44,1044,17,31,832400,17031832400,8324,Census Tract 8324,0.000009,100.00%,25.71%,53,1,14,71,1,140,53,1,14,71,1,140,1391,102,1495,123,8,3,4,55,3181,358,26,384,32,2,1,1,14,818,Mixed,88207,72153326,88207,"$80,000 - $100,000",49,40082,49,40% - 60%
74,74,2,1,2001,17,31,242000,17031242000,2420,Census Tract 2420,0.000004,30.77%,11.76%,89,8,11,74,0,182,27,2,3,23,0,56,2127,830,1368,154,6,0,9,71,4565,250,98,161,18,1,0,1,8,537,Mixed,62275,33441675,71809,"$60,000 - $80,000",41,22017,57,40% - 60%
75,75,2,1,2001,17,31,241600,17031241600,2416,Census Tract 2416,0.000009,69.23%,28.13%,89,8,11,74,0,182,62,6,8,51,0,126,2078,110,1051,166,11,0,5,56,3477,584,31,296,47,3,0,1,16,978,White,77044,75349032,71809,"$60,000 - $80,000",66,64548,57,40% - 60%
76,76,2,2,2002,17,31,81300,17031081300,813,Census Tract 813,0.000002,100.00%,8.70%,177,7,19,29,1,233,177,7,19,29,1,233,3968,173,187,479,1,0,7,69,4884,345,15,16,42,0,0,1,6,425,White,189684,80615700,189684,"$180,000 - $200,000",77,32725,77,60% - 80%
77,77,2,3,2003,17,31,242200,17031242200,2422,Census Tract 2422,0.000012,100.00%,34.29%,95,7,15,71,4,192,95,7,15,71,4,192,2524,81,763,164,0,0,15,43,3590,865,28,262,56,0,0,5,15,1231,White,95299,117313069,95299,"$80,000 - $100,000",66,81246,66,60% - 80%
78,78,2,4,2004,17,31,242300,17031242300,2423,Census Tract 2423,0.000003,27.27%,8.82%,66,6,31,97,2,202,18,2,8,26,1,55,2532,57,444,137,6,1,11,52,3240,223,5,39,12,1,0,1,5,286,White,87899,25139114,93387,"$80,000 - $100,000",67,19162,66,60% - 80%
79,79,2,4,2004,17,31,242200,17031242200,2422,Census Tract 2422,0.000008,72.73%,22.86%,66,6,31,97,2,202,48,4,23,71,1,147,2524,81,763,164,0,0,15,43,3590,577,19,174,37,0,0,3,10,821,White,95299,78240479,93387,"$80,000 - $100,000",66,54186,66,60% - 80%
80,80,2,5,2005,17,31,242000,17031242000,2420,Census Tract 2420,0.000013,100.00%,38.24%,75,6,17,101,1,200,75,6,17,101,1,200,2127,830,1368,154,6,0,9,71,4565,813,317,523,59,2,0,3,27,1745,Mixed,62275,108669875,62275,"$60,000 - $80,000",41,71545,41,40% - 60%
81,81,2,6,2006,17,31,842300,17031842300,8423,Census Tract 8423,0.000009,39.13%,4.48%,64,8,30,91,1,194,25,3,12,36,0,76,2091,549,349,166,8,3,12,66,3244,94,25,16,7,0,0,1,3,145,White,119026,17258770,80698,"$80,000 - $100,000",64,9280,66,60% - 80%
82,82,2,6,2006,17,31,241600,17031241600,2416,Census Tract 2416,0.000014,60.87%,43.75%,64,8,30,91,1,194,39,5,18,55,1,118,2078,110,1051,166,11,0,5,56,3477,909,48,460,73,5,0,2,24,1521,White,77044,117183924,80698,"$80,000 - $100,000",66,100386,66,60% - 80%
83,83,2,7,2007,17,31,241500,17031241500,2415,Census Tract 2415,0.000009,100.00%,26.47%,102,8,13,67,1,191,102,8,13,67,1,191,1963,71,598,152,3,0,10,75,2872,520,19,158,40,1,0,3,20,760,White,114067,86690920,114067,"$100,000 - $120,000",69,52440,69,60% - 80%
84,84,2,8,2008,17,31,241500,17031241500,2415,Census Tract 2415,0.000006,40.00%,17.65%,70,7,25,91,1,194,28,3,10,36,0,78,1963,71,598,152,3,0,10,75,2872,346,13,106,27,1,0,2,13,507,White,114067,57831969,89684,"$80,000 - $100,000",69,34983,67,60% - 80%
85,85,2,8,2008,17,31,241600,17031241600,2416,Census Tract 2416,0.000009,60.00%,28.13%,70,7,25,91,1,194,42,4,15,55,1,116,2078,110,1051,166,11,0,5,56,3477,584,31,296,47,3,0,1,16,978,White,77044,75349032,89684,"$80,000 - $100,000",66,64548,67,60% - 80%
86,86,2,9,2009,17,31,842200,17031842200,8422,Census Tract 8422,0.000001,7.69%,0.59%,122,3,11,27,1,164,9,0,1,2,0,13,1205,1007,135,208,4,0,2,42,2603,7,6,1,1,0,0,0,0,15,Mixed,75473,1132095,67482,"$60,000 - $80,000",44,660,43,40% - 60%
